"Tpr","Ppr","z","set"
1.05,1.83409,0.262686,"0"
1.05,1.83504,0.262781,"0"
1.05,1.83629,0.262906,"0"
1.05,1.84127,0.263404,"0"
1.05,1.8433,0.263607,"0"
1.05,1.85008,0.264286,"0"
1.05,1.85912,0.265191,"0"
1.05,1.85949,0.265228,"0"
1.05,1.86148,0.265427,"0"
1.05,1.86726,0.266005,"0"
1.05,1.86761,0.26604,"0"
1.05,1.87138,0.266417,"0"
1.05,1.87582,0.266861,"0"
1.05,1.87609,0.266888,"0"
1.05,1.87655,0.266935,"0"
1.05,1.87707,0.266987,"0"
1.05,1.8775,0.267029,"0"
1.05,1.89415,0.268695,"0"
1.05,1.8945,0.268731,"0"
1.05,1.89509,0.26879,"0"
1.05,1.90203,0.269484,"0"
1.05,1.91328,0.27061,"0"
1.05,1.91884,0.271166,"0"
1.05,1.92255,0.271537,"0"
1.05,1.92751,0.272034,"0"
1.05,1.92814,0.272097,"0"
1.05,1.92853,0.272136,"0"
1.05,1.92929,0.272212,"0"
1.05,1.93173,0.272455,"0"
1.05,1.93635,0.272917,"0"
1.05,1.93748,0.273031,"0"
1.05,1.93827,0.27311,"0"
1.05,1.9449,0.273773,"0"
1.05,1.9463,0.273913,"0"
1.05,1.9473,0.274013,"0"
1.05,1.95388,0.274672,"0"
1.05,1.9542,0.274704,"0"
1.05,1.95645,0.274929,"0"
1.05,1.96207,0.275492,"0"
1.05,1.96235,0.275519,"0"
1.05,1.97968,0.277253,"0"
1.05,1.98143,0.277429,"0"
1.05,1.98971,0.278257,"0"
1.05,1.99207,0.278493,"0"
1.05,2.00509,0.280013,"0"
1.05,2.00514,0.280019,"0"
1.05,2.00618,0.28014,"0"
1.05,2.00652,0.28018,"0"
1.05,2.00698,0.280234,"0"
1.05,2.00824,0.280381,"0"
1.05,2.0088,0.280446,"0"
1.05,2.01383,0.281033,"0"
1.05,2.01441,0.281102,"0"
1.05,2.02261,0.282058,"0"
1.05,2.0229,0.282092,"0"
1.05,2.02323,0.282131,"0"
1.05,2.03115,0.283056,"0"
1.05,2.03222,0.28318,"0"
1.05,2.04185,0.284304,"0"
1.05,2.04379,0.284531,"0"
1.05,2.04861,0.285082,"0"
1.05,2.05732,0.286078,"0"
1.05,2.06693,0.287178,"0"
1.05,2.0674,0.287231,"0"
1.05,2.06819,0.287321,"0"
1.05,2.07521,0.288125,"0"
1.05,2.07728,0.288361,"0"
1.05,2.08642,0.289406,"0"
1.05,2.09134,0.28997,"0"
1.05,2.09139,0.289975,"0"
1.05,2.09206,0.290052,"0"
1.05,2.09364,0.290232,"0"
1.05,2.10008,0.290969,"0"
1.05,2.10025,0.290988,"0"
1.05,2.10055,0.291022,"0"
1.05,2.10088,0.29106,"0"
1.05,2.10126,0.291103,"0"
1.05,2.10413,0.291432,"0"
1.05,2.11742,0.293204,"0"
1.05,2.11892,0.293406,"0"
1.05,2.11919,0.293441,"0"
1.05,2.12625,0.294383,"0"
1.05,2.1286,0.294696,"0"
1.05,2.13496,0.295545,"0"
1.05,2.13597,0.29568,"0"
1.05,2.13681,0.295792,"0"
1.05,2.13769,0.29591,"0"
1.05,2.14425,0.296785,"0"
1.05,2.15585,0.298332,"0"
